region_complete,lat,long
Santa Cruz County Central Coast,-41.269990,146.059160
Aloxe-Corton  ,47.065800,4.859990
Bandol  ,43.136200,5.753320
Vin de Pays Cité de Carcassonne  ,43.199250,2.371830
Temecula Valley South Coast,33.701870,-117.880680
Côtes de Bourg  ,46.619470,4.690310
Ribera del Guadiana  ,36.475018,-5.024916
Rasteau  ,44.229470,4.986070
Chevalier-Montrachet  ,46.641160,3.854520
Pouilly-Loché  ,46.278154,4.768854
Contra Costa County Central Coast,37.963109,-122.369887
Nevada County Sierra Foothills,39.046522,-121.059735
Limestone Coast  ,-36.960981,139.725498
Monterey-Santa Barbara-Sonoma California Other,34.421796,-119.726763
Ventura County Central Coast,34.280577,-119.284451
North Coast ,-24.716670,152.283330
Victoria  ,48.428550,-123.364450
Russian River Valley Sonoma,38.611173,-122.869076
Sierra Foothills ,38.894691,-121.075200
Lugana  ,45.463360,10.615570
Clare Valley-Coonawarra  ,-12.429510,130.912620
Cilento  ,40.333330,15.250000
Montagny  ,45.620690,4.747470
Recioto di Soave  ,45.416880,11.247960
Comté Toulosan  ,6.585570,124.074640
Dominio de Valdepusa  ,39.256310,-75.601863
Rosé d'Anjou  ,45.602180,-73.559600
Chambertin  ,46.309110,3.468850
Muscat de Saint-Jean de Minervois  ,43.384340,2.833070
Riverland  ,26.093610,-80.186820
Tehema Foothills Sierra Foothills,40.495500,-112.015220
Eola-Amity Hills Willamette Valley,45.150760,-123.196036
Napa-Sonoma-Lake North Coast,38.155136,-122.253593
Tierra del Viños de Zamora  ,41.256110,-5.711450
Aminga Valley  ,4.134730,30.584470
Moulin-à-Vent  ,50.476300,4.879960
Ruché di Castagnole Monferrato  ,44.957820,8.304210
Coteaux du Vendômois  ,47.658303,1.263060
Rully  ,46.876240,4.740210
Napa County Napa,38.299110,-122.285410
Menfi  ,37.607950,12.966850
El Dorado Sierra Foothills,38.664246,-120.912520
Swan Creek  ,36.178470,-80.868960
South Australia  ,-30.106414,135.789180
Gundagai  ,-35.064250,148.104430
Contea di Sclafani  ,45.462540,9.911630
Vin de Pays du Val de Cesse  ,49.512090,5.158340
Montescudaio  ,43.326120,10.625840
Mâcon-Villages  ,32.795995,-83.728394
Mâcon-Uchizy  ,46.503880,4.884070
Sonoma-Napa Napa-Sonoma,38.255624,-122.343894
Vin Mousseux  ,46.745870,0.834610
Montsant  ,41.078220,1.131270
Romangia  ,40.798280,8.572510
Muscadet Coteaux de la Loire  ,45.491756,4.547146
Champagne  ,48.024070,0.330320
Vi de la Terra Illes Balears  ,39.887700,4.262100
Veneto Orientale  ,45.484510,12.232930
Meursault  ,46.976860,4.774410
Vin de Pays de L'Aude  ,47.722250,-3.409680
Southern Highlands  ,-6.250000,143.416670
Málaga  ,36.718380,-4.419930
Vigneti delle Dolomiti  ,47.508180,7.002970
Lussac Saint-Émilion  ,44.890070,-0.154730
Sonoma County Sonoma,38.291880,-122.457280
Catalonia  ,41.798510,1.528906
Gard  ,43.993641,4.179801
Chianti  ,22.307860,114.012752
Controguerra  ,42.855190,13.818550
Saint-Joseph  ,39.768610,-94.846630
Rosso di Toscana  ,42.437344,11.207994
Valpolicella Valpantena Superiore  ,46.721630,-92.103950
Mâcon-Lugny  ,32.839940,-83.628020
Pauillac  ,45.198990,-0.748830
Yakima Valley Columbia Valley,38.067150,-117.964000
Anjou  ,45.346110,4.881490
Côtes du Roussillon  ,45.580110,-0.825110
St.-Amour  ,46.435230,5.345000
Vin de Savoie  ,45.477614,6.442762
Macon-Verge  ,46.353730,4.844400
Cuyo  ,10.836000,121.028600
Willamette Valley  ,45.500120,-122.501480
The Hamptons Long Island Long Island,23.112500,-75.087005
Marche  ,43.348200,13.137824
Cochise County  ,31.879519,-109.751196
Conero Riserva  ,56.832780,60.582030
Ben Lomond Mountain Central Coast,-33.423740,151.342500
Pennsylvania  ,40.896512,-77.838751
Forlì  ,44.228220,12.042090
Montello e Colli Asolani  ,45.840090,11.993870
Dolcetto d'Alba Superiore  ,46.721630,-92.103950
Morellino di Scansano  ,42.687340,11.333100
Ischia  ,40.742810,13.943020
Bonnes-Mares  ,49.078560,0.662760
Lacrima di Morro d'Alba  ,43.600860,13.213280
Gavi di Gavi  ,44.775430,9.454070
Passito di Noto  ,36.889970,15.076200
